ts,name,cpu_perc,mem_usage
1787071728,agwbench-agw-18,563.68%,23.85MiB / 1.106TiB
1787071728,agwbench-agw-19,572.67%,23.16MiB / 1.106TiB
1787071732,agwbench-mock,1015.23%,11.39MiB / 1.106TiB
1787071732,agwbench-mock2,996.47%,11.9MiB / 1.106TiB
1787071732,agwbench-agw-0,572.33%,24.78MiB / 1.106TiB
1787071732,agwbench-agw-1,614.66%,23.74MiB / 1.106TiB
1787071732,agwbench-agw-2,566.19%,22.82MiB / 1.106TiB
1787071732,agwbench-agw-3,583.48%,24.51MiB / 1.106TiB
1787071732,agwbench-agw-4,553.32%,22.55MiB / 1.106TiB
1787071732,agwbench-agw-5,557.43%,23.46MiB / 1.106TiB
1787071732,agwbench-agw-6,544.44%,23.08MiB / 1.106TiB
1787071732,agwbench-agw-7,555.20%,24.16MiB / 1.106TiB
1787071732,agwbench-agw-8,547.49%,23.63MiB / 1.106TiB
1787071732,agwbench-agw-9,507.45%,23.26MiB / 1.106TiB
1787071732,agwbench-agw-10,558.90%,22.74MiB / 1.106TiB
1787071732,agwbench-agw-11,551.52%,22.78MiB / 1.106TiB
1787071732,agwbench-agw-12,578.04%,23.89MiB / 1.106TiB
1787071732,agwbench-agw-13,589.12%,23.89MiB / 1.106TiB
1787071732,agwbench-agw-14,553.75%,23.42MiB / 1.106TiB
1787071732,agwbench-agw-15,592.58%,23.12MiB / 1.106TiB
1787071732,agwbench-agw-16,516.46%,22.02MiB / 1.106TiB
1787071732,agwbench-agw-17,587.61%,22.39MiB / 1.106TiB
1787071732,agwbench-agw-18,572.06%,24.07MiB / 1.106TiB
1787071732,agwbench-agw-19,572.39%,23.91MiB / 1.106TiB
